"","Rk","Player","Age","Pos","GP","G","A","PTS","+/-","PIM","EV","PP","SH","GW","S","S%","TOI","ATOI","OPS","DPS","PS","BLK","HIT","FOW","FOL","FO%","TEAM"
"937","30","Dominik Simon","22","C","2","0","1","1","-1","0","1","0","0","0","2","0.0","26","13:03","0.0","0.0","0.0","0","2","0","0","","PIT"
"938","31","David Warsofsky","26","D","7","0","1","1","-3","6","1","0","0","0","14","0.0","110","15:44","0.0","-0.1","-0.1","12","3","0","0","","PIT"
"939","32","Mike Condon","26","G","1","0","0","0","0","0","0","0","0","0","0","","20","20:00","0.0","0.0","0.1","","0","","","","PIT"
"940","33","Frank Corrado","23","D","2","0","0","0","-1","2","0","0","0","0","1","0.0","15","7:33","0.0","-0.1","-0.1","0","2","0","0","","PIT"
"941","34","Jean-Sebastien Dea","22","C","1","0","0","0","0","2","0","0","0","0","1","0.0","11","11:18","0.0","0.0","0.0","0","3","1","1","50.0","PIT"
"942","35","Marc-Andre Fleury","32","G","38","0","0","0","0","6","0","0","0","0","0","","2125","55:56","0.0","0.0","6.4","0","1","0","0","","PIT"
"943","36","Tristan Jarry","21","G","1","0","0","0","0","0","0","0","0","0","0","","59","58:45","0.0","0.0","0.0","","0","","","","PIT"
"944","37","Kevin Porter","30","C","2","0","0","0","-1","0","0","0","0","0","0","","23","11:15","-0.1","0.0","-0.1","1","5","7","12","36.8","PIT"
"945","38","Derrick Pouliot","23","D","11","0","0","0","-4","4","0","0","0","0","11","0.0","164","14:53","-0.2","-0.1","-0.3","8","14","0","0","","PIT"
"946","39","Oskar Sundqvist","22","C","10","0","0","0","-4","2","0","0","0","0","9","0.0","92","9:10","-0.3","-0.1","-0.4","2","13","16","28","36.4","PIT"
"947","1","Nicklas Backstrom","29","C","82","23","63","86","17","38","36","27","0","5","162","14.2","1497","18:16","7.8","2.1","9.9","33","45","685","648","51.4","WSH"
"948","2","Alex Ovechkin","31","LW","82","33","36","69","6","50","27","9","0","7","313","10.5","1506","18:22","7.0","1.7","8.7","29","216","0","1","0.0","WSH"
"949","3","Evgeny Kuznetsov","24","C","82","19","40","59","18","46","29","11","0","4","170","11.2","1390","16:57","4.7","2.1","6.7","18","57","456","581","44.0","WSH"
"950","4","Marcus Johansson","26","LW","82","24","34","58","25","10","20","14","0","5","129","18.6","1394","17:00","5.1","2.4","7.5","22","32","13","15","46.4","WSH"
"951","5","T.J. Oshie","30","RW","68","33","23","56","28","36","15","6","2","4","143","23.1","1214","17:51","6.4","2.3","8.7","50","95","87","93","48.3","WSH"
"952","6","Justin Williams","35","RW","80","24","24","48","14","50","19","5","0","4","167","14.4","1238","15:29","4.4","1.8","6.2","41","28","64","53","54.7","WSH"
"953","7","Matt Niskanen","30","D","78","5","34","39","20","32","25","8","1","2","154","3.2","1730","22:11","2.7","4.8","7.4","93","147","0","0","","WSH"
"954","8","John Carlson","27","D","72","9","28","37","7","10","14","13","1","3","180","5.0","1635","22:43","3.0","3.5","6.5","127","58","0","0","","WSH"
"955","9","Andre Burakovsky","21","LW","64","12","23","35","13","14","20","3","0","1","111","10.8","849","13:16","2.8","1.4","4.1","25","31","2","5","28.6","WSH"
"956","10","Dmitry Orlov","25","D","82","6","27","33","30","51","22","5","0","0","125","4.8","1602","19:32","2.3","5.4","7.7","94","122","0","0","","WSH"
